index,skt,eva,prep,slt,ssrd,sm
1,272.5587336,-3.97E-06,0,3.000045778,126492.0189,0.29429853
2,276.2753679,-7.53E-06,0,3.000045778,34766.8122,0.349925488
3,277.2058028,-6.38E-06,0,3.000045778,53058.05576,0.320037037
4,274.1172647,-1.32E-05,0,3.000045778,21250.12119,0.347598046
5,273.6284663,-2.62E-06,0,3.000045778,103089.9867,0.343853593
6,275.1037752,-1.88E-06,0,3.000045778,122255.4441,0.343840867
7,271.5462921,-5.40E-06,0,3.000045778,125348.8161,0.333139151
8,271.9077858,-7.63E-06,0,3.000045778,133821.9657,0.330867261
9,271.9389839,-7.21E-06,8.800000191,3.000045778,137049.8322,0.327571899
10,272.8845722,-3.41E-06,0.200000003,3.000045778,134225.449,0.314785421
11,273.5841406,-4.99E-06,0,3.000045778,136848.0906,0.320535243
12,276.635646,-2.95E-06,0,3.000045778,132678.763,0.292992473
13,279.9294438,-2.44E-06,0,3.000045778,104905.6616,0.283184797
14,280.7250377,-1.98E-06,0,3.000045778,121246.7358,0.333132476
15,279.8873871,0,0.100000001,3.000045778,144110.7902,0.327497303
16,268.6734671,-2.91E-05,0.600000024,3.000045778,107999.0336,0.322654456
17,270.1666036,-1.36E-05,0,3.000045778,165293.6642,0.301695168
18,278.6548566,-7.58E-06,0,3.000045778,41357.03966,0.325172573
19,278.0018829,-2.21E-06,0,3.000045778,86479.92358,0.324425459
20,280.7407584,-2.44E-06,0.800000012,3.000045778,173901.3082,0.325009525
21,280.5045436,-1.24E-05,0,3.000045778,61329.46369,0.34229061
22,280.922275,-3.13E-06,0,3.000045778,80225.93222,0.300667495
23,282.8817634,0,0,3.000045778,171816.6444,0.327242553
24,282.6935209,-5.22E-06,0,3.000045778,55209.96676,0.345355958
25,281.9762871,-8.04E-06,0,3.000045778,65364.29683,0.329932094
26,282.4941767,-1.28E-05,0.300000012,3.000045778,85538.46252,0.307873636
27,279.3251717,-1.65E-05,0,3.000045778,182239.9634,0.326334983
28,283.0611732,-4.94E-06,0,3.000045778,244847.1242,0.282869488
29,292.6840673,-1.58E-05,0,3.000045778,245788.5853,0.29240486
30,282.7087554,-2.60E-05,0,3.000045778,32749.39563,0.286934257
31,282.4460424,-2.00E-05,0.100000001,3.000045778,266500.7287,0.295868039
32,278.6824893,-3.91E-05,0.100000001,3.000045778,52990.80854,0.272462785
33,277.1597754,-4.48E-05,0,3.000045778,130526.852,0.371124148
34,277.6368238,-2.48E-05,0,3.000045778,196899.8571,0.360164732
35,278.3773955,-2.45E-05,0,3.000045778,59917.27209,0.357975692
36,275.7282249,-1.16E-05,0,3.000045778,19299.95184,0.396241575
37,277.2120424,-2.89E-05,0,3.000045778,335765.3643,0.364391565
38,283.5728232,-1.60E-05,7.700000286,3.000045778,360445.0936,0.35984838
39,279.749953,-1.34E-05,4.800000191,3.000045778,39743.1064,0.35639441
40,280.1787051,-2.43E-05,0.200000003,3.000045778,90447.5095,0.375041097
41,280.0898916,-7.35E-06,22.89999962,3.000045778,226421.3862,0.389443904
42,276.6824028,-2.53E-05,0.100000001,3.000045778,134090.9546,0.405758679
43,274.9025673,-5.06E-05,4,3.000045778,68255.92724,0.39802283
44,275.9188984,-2.10E-05,0,3.000045778,50099.17812,0.412203938
45,279.0692656,-2.23E-05,0,3.000045778,195487.6655,0.373287469
46,280.7608549,-2.07E-05,0,3.000045778,163814.2254,0.36577788
47,275.0505357,-4.91E-05,0,3.000045778,58975.81103,0.392946333
48,275.446631,-2.38E-05,0,3.000045778,157896.4701,0.371830374
49,280.5957071,-1.42E-05,0,3.000045778,351030.483,0.375349581
50,278.0911016,-2.61E-05,0,3.000045778,155139.3341,0.381243318
51,280.1982343,-2.00E-05,0,3.000045778,530513.3104,0.355695993
52,278.2723751,-1.93E-05,0,3.000045778,339060.478,0.367414832
53,282.5627317,-2.47E-05,0,3.000045778,550620.2288,0.349003345
54,284.4730323,-2.64E-05,0,3.000045778,573282.5416,0.349245995
55,285.9040966,-3.73E-05,0,3.000045778,552368.6565,0.349940658
56,285.1409163,-4.72E-05,0,3.000045778,517332.8554,0.351836562
57,281.5146351,-3.40E-05,0,3.000045778,48619.73931,0.413820297
58,277.1368427,-8.99E-05,0,3.000045778,95154.81483,0.379152596
59,280.9307026,-3.30E-05,0,3.000045778,689351.2415,0.360419542
60,284.3674447,-5.36E-05,0.300000012,3.000045778,678188.2032,0.350279242
61,286.234473,-3.91E-05,0.100000001,3.000045778,685450.9028,0.352383733
62,289.7212943,-5.54E-05,0,3.000045778,687266.5778,0.350651234
63,292.5230523,-4.50E-05,0,3.000045778,585185.2994,0.341101766
64,290.2980959,-1.81E-05,0,3.000045778,288490.5693,0.343206316
65,288.5077259,-6.85E-05,7.900000095,3.000045778,709794.3961,0.342980206
66,291.2982202,-8.35E-05,15.5,3.000045778,518879.5415,0.362333208
67,285.2340246,-8.88E-05,0,3.000045778,630375.4305,0.360827714
68,278.0432104,-8.29E-05,20.30000114,3.000045778,411418.4856,0.37749818
69,284.1724764,-5.47E-05,0,3.000045778,774889.7041,0.364162415
70,282.2659844,-7.60E-05,0,3.000045778,866211.4274,0.357450128
71,286.9547862,-7.03E-05,3.799999952,3.000045778,750411.7164,0.344223976
72,280.8802183,-8.01E-05,0,3.000045778,175380.747,0.391044378
73,280.8311115,-7.50E-05,2.200000048,3.000045778,116539.4305,0.377379984
74,281.7506878,-2.97E-05,0,3.000045778,186274.7965,0.358265519
75,283.3286671,-6.35E-05,0,3.000045778,772737.7931,0.348051757
76,281.3560512,-6.30E-05,0,3.000045778,937089.9962,0.342190295
77,283.7905621,-7.06E-05,1.700000048,3.000045778,914898.4139,0.311418712
78,287.3384022,-5.61E-05,0.400000006,3.000045778,552301.4093,0.337912679
79,283.0121475,-2.95E-05,8.400000572,3.000045778,178608.6136,0.326908499
80,285.6591301,-9.05E-05,0,3.000045778,912275.7724,0.352625579
81,287.4580087,-6.85E-05,0.200000003,3.000045778,1000100.64,0.340716273
82,286.8960364,-8.95E-05,0,3.000045778,883292.221,0.318099409
83,288.1893425,-7.44E-05,0,3.000045778,1027201.27,0.335436225
84,288.8706782,-0.000117236,0,3.000045778,1080595.561,0.299718648
85,290.504409,-0.000112511,0,3.000045778,1096600.4,0.348476529
86,293.1650864,-7.74E-05,0,3.000045778,905618.2977,0.317921937
87,294.1243695,-5.35E-05,8.699999809,3.000045778,650280.6073,0.328926921
88,290.0656897,-3.90E-05,7.300000191,3.000045778,220772.6198,0.355669469
89,293.3094084,-8.62E-05,0,3.000045778,899700.5424,0.334145904
90,292.4554698,-0.000123768,0,3.000045778,1110453.327,0.330694318
91,285.6154527,-0.000100281,0,3.000045778,469789.0716,0.325275272
92,290.8877008,-0.000101115,0,3.000045778,1072996.626,0.313747972
93,295.1908608,-6.97E-05,0.300000012,3.000045778,742812.7806,0.311250716
94,291.897063,-7.46E-05,20,3.000045778,539726.1794,0.345093042
95,288.4448434,-7.86E-05,0,3.000045778,297299.955,0.362195045
96,292.1778466,-0.000109037,0,3.000045778,1172186.274,0.344228774
97,292.9996146,-0.000149619,0,3.000045778,1153962.277,0.338543057
98,291.2767461,-9.56E-05,51.10000229,3.000045778,628963.2389,0.341773123
99,288.7751388,-0.000104774,0.699999988,3.000045778,673077.4146,0.381545067
100,287.4311053,-0.000129467,0.200000003,3.000045778,1223294.16,0.351294219
101,287.8621263,-0.000135304,0.100000001,3.000045778,1284892.613,0.328468829
102,289.841225,-0.000130995,0.100000001,3.000045778,1306142.734,0.337599248
103,292.3241133,-0.000140956,0.699999988,3.000045778,1259540.411,0.323804706
104,292.7454913,-0.000130625,0,3.000045778,1073467.356,0.306988895
105,293.396196,-7.27E-05,0,3.000045778,557815.6813,0.329392523
106,294.9554564,-0.000122842,3.799999952,3.000045778,1073467.356,0.338785827
107,288.8529317,-3.05E-05,2.400000095,3.000045778,114387.5194,0.381341249
108,290.2263806,-7.88E-05,0,3.000045778,908039.1976,0.331937611
109,291.7394515,-0.000125158,0.5,3.000045778,1369422.367,0.333672523
110,292.3318926,-0.00013396,0,3.000045778,1338421.399,0.330847353
111,292.8544012,-0.000149341,0,3.000045778,1381728.608,0.337499768
112,293.6687951,-0.000168288,0,3.000045778,1401364.796,0.32965675
113,295.3827498,-0.000144615,0,3.000045778,1357048.879,0.324383587
114,297.72788,-0.000161942,0,3.000045778,1389394.791,0.330660045
115,299.4680898,-0.000180009,0,3.000045778,1335731.51,0.345712632
116,300.2185477,-0.000113299,0,3.000045778,972596.5278,0.350684017
117,291.8079254,-0.000158838,0,3.000045778,744493.9611,0.384218574
118,292.908208,-6.45E-05,1,3.000045778,460239.9666,0.347294837
119,291.9848231,-9.25E-05,0.300000012,3.000045778,459164.011,0.344674528
120,295.9713824,-0.000126733,19.80000114,3.000045778,1039440.263,0.343902886
121,287.5556549,-6.22E-05,13.90000057,3.000045778,64557.3302,0.356682062
122,293.3567323,-0.000158421,0,3.000045778,1239635.234,0.377896011
123,294.009463,-0.000139797,0,3.000045778,1336672.971,0.364568263
124,296.4786566,-0.000143179,4.599999905,3.000045778,1365185.792,0.361571342
125,289.3241456,-8.12E-05,4.700000286,3.000045778,158030.9646,0.341141611
126,293.11444,-0.000183298,0,3.000045778,1367337.703,0.353720307
127,296.6187647,-0.000156521,0,3.000045778,1440166.441,0.350390345
128,290.6695567,-5.26E-05,0.400000006,3.000045778,299451.866,0.346313089
129,295.8439155,-0.000123305,7,3.000045778,1256917.77,0.33922565
130,289.1272325,-0.000111631,29.10000038,3.000045778,283379.7807,0.296678066
131,292.1894345,-0.000183483,0.300000012,3.000045778,1359873.262,0.361566573
132,295.2015573,-0.000141048,0.100000001,3.000045778,1341985.502,0.325126618
133,295.8394587,-9.58E-05,0,3.000045778,702800.6853,0.353575528
134,296.6639008,-7.71E-05,0,3.000045778,683904.2168,0.333119124
135,297.192487,-0.00016083,0,3.000045778,1437409.305,0.337914973
136,296.7814814,-0.000148599,0,3.000045778,1404323.674,0.331616551
137,298.6001323,-0.000144013,0,3.000045778,1473655.556,0.334673911
138,294.1096212,-7.43E-05,2.799999952,3.000045778,666419.9399,0.372701257
139,298.6925113,-0.000110797,0,3.000045778,1327594.597,0.321033061
140,299.8177524,-0.000142021,0.100000001,3.000045778,1420463.006,0.333998978
141,299.7789371,-0.000136833,10.60000038,3.000045778,1412662.329,0.322745502
142,300.7855441,-0.000134933,0,3.000045778,1335597.016,0.380183458
143,302.0394675,-0.000108944,7.200000286,3.000045778,1056184.821,0.348264992
144,295.9238963,-5.10E-05,23.10000038,3.000045778,450892.6031,0.381047219
145,295.4948201,-2.24E-05,0,3.000045778,64221.09411,0.415053397
146,298.7314078,-0.000162636,0,3.000045778,1174136.443,0.37036851
147,299.4855122,-0.000173523,0,3.000045778,1355569.44,0.379940629
148,297.1432992,-8.62E-05,0,3.000045778,507918.2448,0.360059708
149,299.4722226,-0.000180935,0,3.000045778,1405466.876,0.363127142
150,299.6718909,-0.000156846,19.10000038,3.000045778,1204330.444,0.359208554
151,299.3331678,-0.000158143,0,3.000045778,1343330.446,0.377469182
152,300.9204661,-0.000145403,0,3.000045778,1307151.442,0.364804029
153,301.0988224,-0.000173848,2.600000143,3.000045778,1367068.714,0.359140486
154,302.156562,-0.000172319,0,3.000045778,1379576.697,0.362148881
155,303.6214985,-0.000182233,34.20000076,3.000045778,1294239.976,0.345061004
156,302.1185569,-0.000201921,0.200000003,3.000045778,1109511.866,0.366382986
157,302.3089873,-0.000116958,0.5,3.000045778,605762.9484,0.346517205
158,301.5371364,-0.000232126,0,3.000045778,1263507.997,0.373016745
159,300.5337708,-0.00018719,0,3.000045778,1016441.715,0.343848914
160,302.4401817,-0.000231061,0,3.000045778,1401297.549,0.339156181
161,302.0569709,-0.000188023,0.600000024,3.000045778,1384418.497,0.335130513
162,299.5224638,-0.000154993,2.100000143,3.000045778,965939.0531,0.337645173
163,303.0614711,-0.000117144,0,3.000045778,640798.7495,0.336041689
164,301.6768394,-0.000199744,20.89999962,3.000045778,1173800.207,0.308641106
165,297.9871895,-4.83E-05,18.89999962,3.000045778,96163.52311,0.356715202
166,292.0245298,-0.000169632,8.699999809,3.000045778,87017.90133,0.364642382
167,298.5955944,-0.000201597,0,3.000045778,1375743.605,0.368485451
168,299.4924001,-0.000178434,0.900000036,3.000045778,1273796.822,0.329519182
169,299.8944108,-0.00018075,0,3.000045778,1327123.866,0.3373698
170,300.1497496,-0.000181028,0,3.000045778,1100097.255,0.332417309
171,301.2678597,-0.000236527,0,3.000045778,1248713.609,0.272956401
172,300.65281,-5.04E-05,45.5,3.000045778,199993.2292,0.37566483
173,300.2991767,-0.000159857,56.60000229,3.000045778,739652.1613,0.371381491
174,302.7789048,-0.00018895,0.5,3.000045778,934400.1074,0.377083272
175,301.1224844,-0.000239075,0.600000024,3.000045778,1123028.557,0.289845973
176,301.5531812,-0.000102782,0.200000003,3.000045778,506775.0421,0.355997056
177,302.9836782,-0.000133868,0.100000001,3.000045778,808513.3135,0.339237809
178,301.3460578,-0.000178202,0.100000001,3.000045778,827275.2876,0.326105773
179,303.4001131,-0.000132385,0,3.000045778,824114.6683,0.324849576
180,302.9553973,-0.000186124,0,3.000045778,961904.22,0.30034703
181,302.2948064,-0.000170883,2.299999952,3.000045778,787464.934,0.335378468
182,303.5511608,-0.000195389,0,3.000045778,980060.9691,0.299797595
183,303.3960614,-0.000230088,0,3.000045778,1087253.036,0.330803186
184,304.1393072,-0.000227772,0,3.000045778,1136948.731,0.304907203
185,305.3334274,-0.000174589,0,3.000045778,1171379.307,0.316924065
186,304.9273649,-0.000213179,0,3.000045778,850879.0615,0.319738954
187,303.475637,-0.00023574,42.20000076,3.000045778,1151003.4,0.282738447
188,299.0756411,-0.000104358,30.30000114,3.000045778,407585.3941,0.389484286
189,298.99015,-0.000131968,34.60000229,3.000045778,579469.2858,0.379008949
190,298.7147147,-0.000177693,0,3.000045778,768770.2071,0.37266767
191,298.9236209,-0.000174264,0,3.000045778,1029554.922,0.363999635
192,300.0401914,-0.00016801,8.900000572,3.000045778,1146968.567,0.341468662
193,296.437005,-7.33E-05,21.70000076,3.000045778,335496.3754,0.347833782
194,296.7889366,-0.00010496,0,3.000045778,243703.9215,0.344904333
195,297.8515382,-0.000141789,23.5,3.000045778,885107.8959,0.367434859
196,298.007367,-6.41E-05,8.400000572,3.000045778,303755.688,0.42633149
197,298.2172457,-7.79E-05,10.90000057,3.000045778,388487.1839,0.365614623
198,299.3817073,-0.000140261,0,3.000045778,713425.7459,0.382119864
199,298.0719513,-7.48E-05,0,3.000045778,326485.248,0.367592365
200,297.4701102,-0.000131227,0.100000001,3.000045778,637705.3774,0.392356753
201,299.1631581,-5.83E-05,2.400000095,3.000045778,290037.2554,0.397263408
202,299.4809742,-4.98E-05,0,3.000045778,203759.0734,0.382525414
203,299.2334958,-8.16E-05,1.300000072,3.000045778,366968.0739,0.377866715
204,299.4679277,-8.12E-05,0.400000006,3.000045778,314716.9847,0.383507013
205,300.2983664,-9.16E-05,3.600000143,3.000045778,322046.9316,0.377246082
206,299.7586785,-0.000137713,0.200000003,3.000045778,692915.3441,0.381346345
207,297.1447578,-9.79E-05,2.700000048,3.000045778,108335.2697,0.371495754
208,298.5162619,-7.21E-05,0,3.000045778,131199.3242,0.406588286
209,300.9928296,-0.000150545,0.5,3.000045778,1017584.917,0.381155282
210,300.389773,-0.000121174,0.200000003,3.000045778,670858.2563,0.356641591
211,300.9761366,-0.000147997,0,3.000045778,989408.3325,0.369332492
212,301.5437812,-0.000159811,0.300000012,3.000045778,942873.257,0.362745404
213,301.2463857,-0.000174913,0,3.000045778,912006.7835,0.383918911
214,302.0558365,-0.00016222,0.400000006,3.000045778,882283.5127,0.355463564
215,301.744584,-6.94E-05,0.900000036,3.000045778,377122.4039,0.38937813
216,302.8355477,-0.000188348,0,3.000045778,898153.8564,0.38267526
217,302.514247,-0.000132663,7.800000191,3.000045778,753572.3356,0.375802159
218,302.1976463,-0.000166899,0.100000001,3.000045778,882485.2544,0.376166195
219,301.8444992,-0.000149433,18.60000038,3.000045778,720890.1872,0.363778919
220,300.6037033,-0.000120248,0,3.000045778,526074.9939,0.395310044
221,300.9797021,-9.37E-05,0,3.000045778,524326.5662,0.34424904
222,302.2542893,-0.000152167,0,3.000045778,879257.3879,0.381585628
223,302.9835162,-0.000160552,2.400000095,3.000045778,963316.4116,0.348268092
224,301.9439282,-0.000168798,0,3.000045778,867018.394,0.382996559
225,299.8910884,-0.000154529,6,3.000045778,788809.8784,0.368854344
226,292.5296971,-0.000118441,7.900000095,3.000045778,97844.70358,0.369180977
227,291.4452162,-0.000108851,4.099999905,3.000045778,93540.88157,0.410326093
228,293.9783458,-6.93E-05,0.600000024,3.000045778,253791.0043,0.374968976
229,296.1012802,-8.93E-05,0,3.000045778,529033.8715,0.387777925
